ministry,unitCode,legacyReference,name,parentUnitCode,unitType,department,isVirtual
HOME,Yetapaka Circle,2017225,Yetapaka Circle,Chinturu SDPO,Circle,L&O,FALSE
HOME,Araku Circle,2035205,Araku Circle,Chinturu SDPO,Circle,L&O,FALSE
HOME,G. Madugula Circle,2035206,G. Madugula Circle,Paderu SDPO,Circle,L&O,FALSE
HOME,Paderu Circle,2035207,Paderu Circle,Paderu SDPO,Circle,L&O,FALSE
HOME,Addateegala Circle,2017217,Addateegala Circle,Paderu SDPO,Circle,L&O,FALSE
HOME,Maredumilli Circle,2017219,Maredumilli Circle,Rampachodavaram SDPO,Circle,L&O,FALSE
HOME,Rajavommangi Circle,2017218,Rajavommangi Circle,Rampachodavaram SDPO,Circle,L&O,FALSE
HOME,Rampachodavaram Circle,2017216,Rampachodavaram Circle,Rampachodavaram SDPO,Circle,L&O,FALSE
HOME,Anakapalli Rural Circle,2035200,Anakapalli Rural Circle,Rampachodavaram SDPO,Circle,L&O,FALSE
HOME,Anakapalli Town UPS Circle,2035213,Anakapalli Town UPS Circle,Anakapalli SDPO,Circle,L&O,FALSE
HOME,K.Kotapadu Circle,2035202,K.Kotapadu Circle,Anakapalli SDPO,Circle,L&O,FALSE
HOME,Kothakota Circle,2035208,Kothakota Circle,Anakapalli SDPO,Circle,L&O,FALSE
HOME,Nakkapalli Circle,2035212,Nakkapalli Circle,Anakapalli SDPO,Circle,L&O,FALSE
HOME,Narsipatnam Rural Circle,2035209,Narsipatnam Rural Circle,Narsipatnam SDPO,Circle,L&O,FALSE
HOME,Yellamanchili Circle,2035210,Yellamanchili Circle,Narsipatnam SDPO,Circle,L&O,FALSE
HOME,Itukalapalli Circle,2012201,Itukalapalli Circle,Parawada SDPO,Circle,L&O,FALSE
HOME,Singanamala Circle,2012226,Singanamala Circle,Anantapuram Rural SDPO,Circle,L&O,FALSE
HOME,Guntakal Rural  Circle,2012205,Guntakal Rural  Circle,Anantapuram Rural SDPO,Circle,L&O,FALSE
HOME,Uravakonda Rural Circle,2012208,Uravakonda Rural Circle,Guntakal SDPO,Circle,L&O,FALSE
HOME,Kalyandurg Rural Circle,2012202,Kalyandurg Rural Circle,Guntakal SDPO,Circle,L&O,FALSE
HOME,Rayadurg Rural Circle,2012207,Rayadurg Rural Circle,Kalyanadurg SDPO,Circle,L&O,FALSE
HOME,Peddavadugur Circle,2012228,Peddavadugur Circle,Kalyanadurg SDPO,Circle,L&O,FALSE
HOME,Yadiki Rural Circle,2012225,Yadiki Rural Circle,Tadipatri SDPO,Circle,L&O,FALSE
HOME,Putlur Circle,2012217,Putlur Circle,Tadipatri SDPO,Circle,L&O,FALSE
HOME,Madanapalle Rural Circle,2014211,Madanapalle Rural Circle,Anantapuram Rural SDPO,Circle,L&O,FALSE
HOME,Molakalacheruvu Circle,2014214,Molakalacheruvu Circle,Madanapalle SDPO,Circle,L&O,FALSE
HOME,Railway Kodur Rural Circle,2016214,Railway Kodur Rural Circle,Madanapalle SDPO,Circle,L&O,FALSE
